numero_uai;appellation;denomination;patronyme;etat_etabl;nature_uai;lib_nature;sous_fic;field_11;Coord_X;Coord_Y
489264;Ecole primaire Les Ardriers;ECOLE PRIMAIRE PUBLIQUE;LES ARDRIERS;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;489264;6771199
493447;Ecole primaire Gaston Bachelard;ECOLE PRIMAIRE PUBLIQUE;GASTON BACHELARD;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;493447;6769591
492648;Ecole primaire Gérard Philipe;ECOLE PRIMAIRE PUBLIQUE;GERARD PHILIPE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;492648;6768956
513605;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;513605;6757080
452075;Ecole primaire Saint-Exupéry;ECOLE PRIMAIRE PUBLIQUE;SAINT-EXUPERY;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;452075;6753767
451075;Ecole primaire Gilles Ménage;ECOLE PRIMAIRE PUBLIQUE;GILLES MENAGE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;451075;6753886
491768;Collège Le Ronceray;COLLEGE;LE RONCERAY;1;340;COLLEGE;3;;491768;6766829
488149;Ecole primaire Jules Ferry;ECOLE PRIMAIRE PUBLIQUE;JULES FERRY;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;488149;6766955
469334;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;PAPE CARPANTIER;1;101;ECOLE MATERNELLE;1;;469334;6737590
500494;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;;1;101;ECOLE MATERNELLE;1;;500494;6797859
451982;Ecole maternelle Saint-Exupéry;ECOLE MATERNELLE PUBLIQUE;SAINT-EXUPERY;1;101;ECOLE MATERNELLE;1;;451982;6753717
